Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Social Generosity
1,Finland,2.0501414559682836,1.34,1.587,0.986,0.596,0.153,0.39299999999999996,0.242811
2,Denmark,2.028148247292285,1.383,1.5730000000000002,0.996,0.5920000000000001,0.252,0.41,0.396396
3,Norway,2.022077224290265,1.4880000000000002,1.5819999999999999,1.028,0.603,0.271,0.341,0.428722
4,Iceland,2.0141027003714957,1.38,1.624,1.026,0.591,0.354,0.11800000000000001,0.574896
5,Netherlands,2.013301739175291,1.396,1.5219999999999998,0.9990000000000001,0.557,0.322,0.298,0.49008399999999996
6,Switzerland,2.012232791986386,1.452,1.526,1.052,0.5720000000000001,0.263,0.34299999999999997,0.40133800000000003
7,Sweden,1.9937474784694735,1.3869999999999998,1.4869999999999999,1.0090000000000001,0.574,0.267,0.373,0.39702899999999997
8,New Zealand,1.9888327928090808,1.3030000000000002,1.557,1.026,0.585,0.33,0.38,0.51381
9,Canada,1.984856099189968,1.365,1.505,1.0390000000000001,0.584,0.285,0.308,0.42892499999999995
10,Austria,1.9804495924728855,1.376,1.475,1.016,0.532,0.244,0.226,0.3599
11,Australia,1.977962372729982,1.3719999999999999,1.548,1.036,0.557,0.332,0.29,0.5139360000000001
12,Costa Rica,1.9694871570117822,1.034,1.4409999999999998,0.963,0.5579999999999999,0.14400000000000002,0.09300000000000001,0.207504
13,Israel,1.9655727105203233,1.276,1.455,1.0290000000000001,0.371,0.261,0.08199999999999999,0.379755
14,Luxembourg,1.958685340544036,1.609,1.479,1.012,0.526,0.19399999999999998,0.316,0.28692599999999996
15,United Kingdom,1.95359483181386,1.3330000000000002,1.538,0.996,0.45,0.348,0.278,0.5352239999999999
16,Ireland,1.9489056580351118,1.499,1.5530000000000002,0.9990000000000001,0.516,0.298,0.31,0.46279400000000004
17,Germany,1.943764992708925,1.3730000000000002,1.454,0.987,0.495,0.261,0.265,0.379494
18,Belgium,1.9348492016958883,1.3559999999999999,1.504,0.986,0.473,0.16,0.21,0.24064
19,United States,1.9303613186656832,1.433,1.4569999999999999,0.8740000000000001,0.45399999999999996,0.28,0.128,0.40796
20,Czech Republic,1.9245405804618736,1.2690000000000001,1.4869999999999999,0.92,0.457,0.046,0.036000000000000004,0.06840199999999999
21,United Arab Emirates,1.9205923410710235,1.5030000000000001,1.31,0.825,0.598,0.262,0.182,0.34322
22,Malta,1.9059806133180779,1.3,1.52,0.9990000000000001,0.564,0.375,0.151,0.5700000000000001
23,Mexico,1.886311786169278,1.07,1.3230000000000002,0.861,0.433,0.07400000000000001,0.073,0.09790200000000003
24,France,1.8858567926071708,1.324,1.472,1.045,0.436,0.111,0.183,0.163392
25,Taiwan,1.8634597833932462,1.368,1.43,0.914,0.35100000000000003,0.242,0.09699999999999999,0.34606
